TIME,POINT1,POINT2,POINT3
29.440000,612.354942,612.354942,612.354942
29.460000,612.199162,612.199162,612.199162
29.480000,612.043654,612.043654,612.043654
29.500000,611.888419,611.888419,611.888419
29.520000,611.733455,611.733455,611.733455
29.540000,611.578763,611.578763,611.578763
29.560000,611.424340,611.424340,611.424340
29.580000,611.270186,611.270186,611.270186
29.600000,611.116302,611.116302,611.116302
29.620000,610.962686,610.962686,610.962686
29.640000,610.809337,610.809337,610.809337
29.660000,610.656255,610.656255,610.656255
29.680000,610.503440,610.503440,610.503440
29.700000,610.350890,610.350890,610.350890
29.720000,610.198605,610.198605,610.198605
29.740000,610.046585,610.046585,610.046585
29.760000,609.894829,609.894829,609.894829
29.780000,609.743335,609.743335,609.743335
29.800000,609.592104,609.592104,609.592104
29.820000,609.441135,609.441135,609.441135
29.840000,609.290427,609.290427,609.290427
29.860000,609.139979,609.139979,609.139979
29.880000,608.989792,608.989792,608.989792
29.900000,608.839864,608.839864,608.839864
29.920000,608.690194,608.690194,608.690194
29.940000,608.540782,608.540782,608.540782
29.960000,608.391628,608.391628,608.391628
29.980000,608.242729,608.242729,608.242729
30.000000,608.094087,608.094087,608.094087
30.020000,607.945699,607.945699,607.945699
30.040000,607.797566,607.797566,607.797566
30.060000,607.649686,607.649686,607.649686
30.080000,607.502060,607.502060,607.502060
30.100000,607.354686,607.354686,607.354686
30.120000,607.207563,607.207563,607.207563
30.140000,607.060692,607.060692,607.060692
30.160000,606.914071,606.914071,606.914071
30.180000,606.767700,606.767700,606.767700
30.200000,606.621577,606.621577,606.621577
30.220000,606.475704,606.475704,606.475704
30.240000,606.330078,606.330078,606.330078
30.260000,606.184701,606.184701,606.184701
30.280000,606.039570,606.039570,606.039570
30.300000,605.894684,605.894684,605.894684
30.320000,605.750046,605.750046,605.750046
30.340000,605.605653,605.605653,605.605653
30.360000,605.461504,605.461504,605.461504
30.380000,605.317599,605.317599,605.317599
30.400000,605.173937,605.173937,605.173937
30.420000,605.030516,605.030516,605.030516
30.440000,604.887337,604.887337,604.887337
30.460000,604.744400,604.744400,604.744400
30.480000,604.601702,604.601702,604.601702
30.500000,604.459243,604.459243,604.459243
30.520000,604.317024,604.317024,604.317024
30.540000,604.175042,604.175042,604.175042
30.560000,604.033298,604.033298,604.033298
30.580000,603.891790,603.891790,603.891790
30.600000,603.750519,603.750519,603.750519
30.620000,603.609482,603.609482,603.609482
30.640000,603.468680,603.468680,603.468680
30.660000,603.328110,603.328110,603.328110
30.680000,603.187774,603.187774,603.187774
30.700000,603.047674,603.047674,603.047674
30.720000,602.907806,602.907806,602.907806
30.740000,602.768170,602.768170,602.768170
30.760000,602.628764,602.628764,602.628764
30.780000,602.489589,602.489589,602.489589
30.800000,602.350663,602.350663,602.350663
30.820000,602.211962,602.211962,602.211962
30.840000,602.073483,602.073483,602.073483
30.860000,601.935232,601.935232,601.935232
30.880000,601.797210,601.797210,601.797210
30.900000,601.659411,601.659411,601.659411
30.920000,601.521838,601.521838,601.521838
30.940000,601.384489,601.384489,601.384489
30.960000,601.247362,601.247362,601.247362
30.980000,601.110458,601.110458,601.110458
31.000000,600.973775,600.973775,600.973775
31.020000,600.837311,600.837311,600.837311
31.040000,600.701066,600.701066,600.701066
31.060000,600.565040,600.565040,600.565040
31.080000,600.429253,600.429253,600.429253
31.100000,600.293680,600.293680,600.293680
31.120000,600.158325,600.158325,600.158325
31.140000,600.023183,600.023183,600.023183
31.160000,599.888254,599.888254,599.888254
31.180000,599.753736,599.753736,599.753736
31.200000,599.619308,599.619308,599.619308
31.220000,599.485076,599.485076,599.485076
31.240000,599.351028,599.351028,599.351028
31.260000,599.217199,599.217199,599.217199
31.280000,599.083567,599.083567,599.083567
31.300000,598.950138,598.950138,598.950138
31.320000,598.816917,598.816917,598.816917
31.340000,598.683900,598.683900,598.683900
31.360000,598.551088,598.551088,598.551088
31.380000,598.418481,598.418481,598.418481
31.400000,598.286083,598.286083,598.286083
31.420000,598.153891,598.153891,598.153891
31.440000,598.021904,598.021904,598.021904
31.460000,597.890121,597.890121,597.890121
31.480000,597.758542,597.758542,597.758542
31.500000,597.627190,597.627190,597.627190
31.520000,597.496036,597.496036,597.496036
31.540000,597.365080,597.365080,597.365080
31.560000,597.234327,597.234327,597.234327
31.580000,597.103779,597.103779,597.103779
31.600000,596.973430,596.973430,596.973430
31.620000,596.843281,596.843281,596.843281
31.640000,596.713332,596.713332,596.713332
31.660000,596.583583,596.583583,596.583583
31.680000,596.454033,596.454033,596.454033
31.700000,596.324680,596.324680,596.324680
31.720000,596.195525,596.195525,596.195525
31.740000,596.066568,596.066568,596.066568
31.760000,595.937808,595.937808,595.937808
31.780000,595.809244,595.809244,595.809244
31.800000,595.680875,595.680875,595.680875
31.820000,595.552701,595.552701,595.552701
31.840000,595.424723,595.424723,595.424723
31.860000,595.296938,595.296938,595.296938
31.880000,595.169347,595.169347,595.169347
31.900000,595.041949,595.041949,595.041949
